"EFN","Phy","matched_name","RangeY","domY","mycoY"
1,"Cassia obtusifolia","Cassia obtusifolia",FALSE,FALSE,FALSE
1,"Cassia occidentalis","Cassia occidentalis",FALSE,FALSE,FALSE
1,"Cassia oxyphylla","Cassia oxyphylla",FALSE,FALSE,FALSE
1,"Cassia patellaria","Cassia patellaria",FALSE,FALSE,FALSE
1,"Cassia phyllodinea","Cassia phyllodinea",FALSE,FALSE,FALSE
1,"Cassia pumila","Cassia pumila",FALSE,FALSE,FALSE
1,"Cassia reticulata","Cassia reticulata",FALSE,FALSE,FALSE
1,"Cassia rugosa","Cassia rugosa",FALSE,FALSE,FALSE
1,"Cassia sophora","Cassia sophora",FALSE,FALSE,FALSE
1,"Cassia speciosa","Cassia speciosa",FALSE,FALSE,FALSE
1,"Cassia stenocarpa","Cassia stenocarpa",FALSE,FALSE,FALSE
1,"Cassia sturtii","Cassia sturtii",FALSE,FALSE,FALSE
1,"Cassia surattensis","Cassia surattensis",FALSE,FALSE,FALSE
1,"Cassia tomentosa","Cassia tomentosa",FALSE,FALSE,FALSE
1,"Cassia tora","Cassia tora",FALSE,FALSE,FALSE
1,"Cassia uniflora","Cassia uniflora",FALSE,FALSE,FALSE
1,"Castanospermum australe","Castanospermum australe",TRUE,FALSE,TRUE
1,"Centrolobium paraense","Centrolobium paraense",TRUE,FALSE,FALSE
1,"Chamaecrista amorimii","Chamaecrista amorimii",FALSE,FALSE,FALSE
1,"Chamaecrista blanchetii","Chamaecrista blanchetii",FALSE,FALSE,FALSE
1,"Chamaecrista brachystachya","Chamaecrista brachystachya",FALSE,FALSE,FALSE
1,"Chamaecrista calycioides","Chamaecrista calycioides",TRUE,FALSE,FALSE
1,"Chamaecrista chamaecristoides","Chamaecrista chamaecristoides",TRUE,FALSE,TRUE
1,"Chamaecrista choriophylla","Chamaecrista choriophylla",FALSE,FALSE,FALSE
1,"Chamaecrista confertiformis","Chamaecrista confertiformis",FALSE,FALSE,FALSE
1,"Chamaecrista coriacea","Chamaecrista coriacea",FALSE,FALSE,FALSE
1,"Chamaecrista cystoides","Chamaecrista cystoides",FALSE,FALSE,FALSE
1,"Chamaecrista debilis","Chamaecrista debilis",FALSE,FALSE,FALSE
1,"Chamaecrista decora","Chamaecrista decora",FALSE,FALSE,FALSE
1,"Chamaecrista depauperata","Chamaecrista depauperata",FALSE,FALSE,FALSE
1,"Chamaecrista desvauxii","Chamaecrista desvauxii",TRUE,FALSE,FALSE
1,"Chamaecrista diphylla","Chamaecrista diphylla",TRUE,FALSE,FALSE
1,"Chamaecrista fasciculata","Chamaecrista fasciculata",TRUE,FALSE,FALSE
1,"Chamaecrista flexuosa","Chamaecrista flexuosa",TRUE,FALSE,FALSE
1,"Chamaecrista mucronata","Chamaecrista mucronata",FALSE,FALSE,FALSE
1,"Chamaecrista nictitans","Chamaecrista nictitans",TRUE,FALSE,FALSE
1,"Chamaecrista olesiphylla","Chamaecrista olesiphylla",FALSE,FALSE,FALSE
1,"Chamaecrista onusta","Chamaecrista onusta",FALSE,FALSE,FALSE
1,"Chamaecrista pascuorum","Chamaecrista pascuorum",FALSE,FALSE,FALSE
1,"Chamaecrista pilosa","Chamaecrista pilosa",TRUE,FALSE,FALSE
1,"Chamaecrista potentilla","Chamaecrista potentilla",FALSE,FALSE,FALSE
1,"Chamaecrista serpens","Chamaecrista serpens",TRUE,FALSE,FALSE
1,"Chamaecrista supplex","Chamaecrista supplex",FALSE,FALSE,FALSE
1,"Chamaecrista unijuga","Chamaecrista unijuga",FALSE,FALSE,FALSE
1,"Chamaefistula amabilis","Chamaefistula (dc.)",FALSE,FALSE,FALSE
1,"Chamaefistula antillana","Chamaefistula antillana",FALSE,FALSE,FALSE
1,"Chamaefistula elegans","Chamaefistula elegans",FALSE,FALSE,FALSE
1,"Chloroleucon dumosum","Chloroleucon dumosum",TRUE,FALSE,FALSE
1,"Chloroleucon foliolosum","Chloroleucon foliolosum",TRUE,FALSE,FALSE
1,"Crotalaria anagyroides","Crotalaria anagyroides",FALSE,FALSE,FALSE
1,"Crotalaria incana","Crotalaria incana",TRUE,FALSE,TRUE
1,"Crotalaria maypurensis","Crotalaria maypurensis",TRUE,FALSE,FALSE
1,"Crotalaria murcronata","Crotalaria mucronata",FALSE,FALSE,FALSE
1,"Crotalaria pallida","Crotalaria pallida",TRUE,FALSE,FALSE
1,"Crotalaria pumila","Crotalaria pumila",TRUE,FALSE,FALSE
1,"Delonix adansonioides","Delonix adansonioides",FALSE,FALSE,FALSE
1,"Delonix regia","Delonix regia",FALSE,FALSE,FALSE
1,"Desmanthus bicornatus","Desmanthus bicornutus",FALSE,FALSE,FALSE
1,"Desmanthus illinoisensis","Desmanthus illinoensis",FALSE,FALSE,FALSE
1,"Desmanthus leptolobus","Desmanthus leptolobus",TRUE,FALSE,FALSE
1,"Desmanthus pernambucanus","Desmanthus pernambucanus",FALSE,FALSE,FALSE
1,"Desmanthus virgatus","Desmanthus virgatus",TRUE,FALSE,FALSE
