"EFN","Phy","matched_name"
1,"Andropogon insculptus","Andropogon insculptus"
1,"Andropogon panormitanus","Andropogon panormitanus"
1,"Andropogon pertusus","Andropogon pertusus"
1,"Anemopaegma album","Anemopaegma album"
1,"Anemopaegma arvense","Anemopaegma arvense"
1,"Anemopaegma chamberlaynii","Anemopaegma chamberlaynii"
1,"Anemopaegma flavum","Anemopaegma flavum"
1,"Anemopaegma floridum","Anemopaegma floridum"
1,"Anemopaegma foetidum","Anemopaegma foetidum"
1,"Anemopaegma laeve","Anemopaegma laeve"
1,"Anemopaegma orbiculatum","Anemopaegma orbiculatum"
1,"Anemopaegma puberulum","Anemopaegma puberulum"
1,"Anemopaegma robustum","Anemopaegma robustum"
1,"Anemopaegma scabriusculum","Anemopaegma scabriusculum"
1,"Angostura trifoliata","Angostura trifoliata"
1,"Angostylis longifolia","Angostylis longifolia"
1,"Angraecum eburneum","Angraecum eburneum"
1,"Anisoptera sp.","Anisoptera korth."
1,"Anisosperma sp.","Anisosperma silva"
1,"Annona glabra","Annona glabra"
1,"Annona sp.","Annona sp."
1,"Ansellia africana","Ansellia africana"
1,"Ansellia sp.","Ansellia sp."
1,"Anthocleista nobilis","Anthocleista nobilis"
1,"Anthocleista vogelii","Anthocleista vogelii"
1,"Aparisthmium cordatum","Aparisthmium cordatum"
1,"Aphelandra albert-smithii","Aphelandra albert-smithii"
1,"Aphelandra barkleyi","Aphelandra barkleyi"
1,"Aphelandra deppeana","Aphelandra deppeana"
1,"Aphelandra dielsii","Aphelandra dielsii"
1,"Aphelandra fasciculata","Aphelandra fasciculata"
1,"Aphelandra fernandezii","Aphelandra fernandezii"
1,"Aphelandra glabrata","Aphelandra glabrata"
1,"Aphelandra golfodulcensis","Aphelandra golfodulcensis"
1,"Aphelandra gracilis","Aphelandra gracilis"
1,"Aphelandra grandis","Aphelandra grandis"
1,"Aphelandra hartwegiana","Aphelandra hartwegiana"
1,"Aphelandra hylaea","Aphelandra hylaea"
1,"Aphelandra impress","Aphelandra impressa"
1,"Aphelandra lasia","Aphelandra lasia"
1,"Aphelandra leonardii","Aphelandra leonardii"
1,"Aphelandra lingua-bovis","Aphelandra lingua-bovis"
1,"Aphelandra macrophylla","Aphelandra macrophylla"
1,"Aphelandra panamensis","Aphelandra panamensis"
1,"Aphelandra pharangophila","Aphelandra pharangophila"
1,"Aphelandra pulcherrima","Aphelandra pulcherrima"
1,"Aphelandra scabra","Aphelandra scabra"
1,"Aphelandra scolnikae","Aphelandra scolnikae"
1,"Aphelandra sinclairiana","Aphelandra sinclairiana"
1,"Aphelandra sp.","Aphelandra r."
1,"Aphelandra storkii","Aphelandra storkii"
1,"Aphelandra terryae","Aphelandra terryae"
1,"Aphelandra tetragona","Aphelandra tetragona"
1,"Apios americana","Apios americana"
1,"Aporosa* aurea","Aporosa aurea"
1,"Aporosa* chinensis","Aporosa chinensis"
1,"Aporosa* dioica","Aporosa dioica"
1,"Aporosa* sp. 1","Aporosa blume"
1,"Aporosa* villosa","Aporosa villosa"
1,"Aporosa* yunnanensis","Aporosa yunnanensis"
1,"Aporusa chinensis","Aporusa chinensis"
1,"Aporusa villosa","Aporusa villosa"
1,"Aporusa yunnanensis","Aporusa yunnanensis"
1,"Apuleia sp.","Apuleia mart."
1,"Arachnis flos-aeris","Arachnis flos-aeris"
1,"Archidendron bubalinum","Archidendron bubalinum"
1,"Archidendron calycinum","Archidendron calycinum"
1,"Archidendron clypearia","Archidendron clypearia"
1,"Archidendron contortum","Archidendron contortum"
1,"Archidendron dypearia","Archidendron f.muell."
1,"Archidendron globosum","Archidendron globosum"
1,"Archidendron kerrii","Archidendron kerrii"
1,"Archidendron lucidum","Archidendron lucidum"
1,"Archidendron macrocarpum","Archidendron microcarpum"
1,"Archidendron ramiflorum","Archidendron ramiflorum"
1,"Archidendron utile","Archidendron utile"
1,"Ardisia pachyrrhachis","Ardisia pachyrrhachis"
1,"Argyreia mollis","Argyreia mollis"
1,"Argyreia nervosa","Argyreia nervosa"
1,"Argyreia obtusifolia","Argyreia obtusifolia"
1,"Argyreia ridleyi","Argyreia ridleyi"
1,"Aristolochia sp.","Aristolochia sp."
1,"Armatocereus matucanensis","Armatocereus matucanensis"
1,"Armatocereus procerus","Armatocereus procerus"
1,"Armatocereus rauhii","Armatocereus rauhii"
1,"Arrabidaea spp.","Arrabidaea dc."
1,"Arthrosamanea altissima","Arthrosamanea altissima"
1,"Arundina graminifolius","Arundina graminifolia"
1,"Arundo donax","Arundo donax"
1,"Ashtonia excelsa","Ashtonia excelsa"
1,"Ashtonia praeterita","Ashtonia praeterita"
1,"Asparagus acutifolius","Asparagus acutifolius"
1,"Asparagus prob.schoberloides","Asparagus tourn."
1,"Aspasia principissa","Aspasia principissa"
1,"Aspasia sp.","Aspasia sp."
1,"Aspicarpa sp.","Aspicarpa rich."
1,"Aspidospema quebracho-blanco","Aspidosperma quebracho-blanco"
1,"Astianthus sp.","Astianthus d."
1,"Atroxima afzeliana","Atroxima afzeliana"
1,"Austroeupatorium inulaefolium","Austroeupatorium inulaefolium"
1,"Avicennia sp.","Avicennia l."
1,"Ayenia klugii","Ayenia klugii"
1,"Ayenia mastatalensis","Ayenia mastatalensis"
1,"Ayenia praelara","Ayenia praeclara"
1,"Ayenia sp.","Ayenia l."
1,"Azanza garckiana","Azanza garckeana"
1,"Baccaurea ramiflora","Baccaurea ramiflora"
1,"Baccaurea sumatrana","Baccaurea sumatrana"
1,"Baccharis concinna","Baccharis concinna"
1,"Baillonia spp.","Baillonia bocq."
1,"Balakata baccata","Balakata baccata"
1,"Balanophora kuroiwai","Balanophora kuroiwai"
1,"Balanophora tobiracola","Balanophora tobiracola"
1,"Baliospermum axillare","Baliospermum axillare"
1,"Balizia peticilaris","Balizia pedicellaris"
1,"Balsamina coccinea","Balsamina coccinea"
1,"Balsamina hortensis","Balsamina hortensis"
1,"Balsamina lechenaultii","Balsamina leschenaultii"
1,"Bambusa moreheadiana","Bambusa moreheadiana"
1,"Banara guianensis","Banara guianensis"
1,"Banara ibamguensia","Banara ibaguensis"
1,"Banara mexicana","Banara mexicana"
1,"Banara mollis","Banara mollis"
1,"Banisteriopsis 89 spp.","Banisteriopsis c."
1,"Banisteriopsis angustifolia","Banisteriopsis angustifolia"
